courseName,keywords,moduleName,moduleContent
React Fundamentals,"hooks,state,props",Introduction to React,Learn the basics of React components and JSX syntax
React Fundamentals,"hooks,state,props",React Hooks Deep Dive,Master useState and useEffect hooks with practical examples
React Fundamentals,"hooks,state,props",State Management,Learn Redux and Context API for complex state management
UI/UX Design Basics,"design,ui,ux,figma",Design Principles,Fundamental design concepts and theory for modern interfaces
UI/UX Design Basics,"design,ui,ux,figma",Figma Basics,Learn Figma interface and essential tools for design
UI/UX Design Basics,"design,ui,ux,figma",Prototyping,Create interactive prototypes and test user flows
Digital Marketing,"marketing,seo,social",SEO Fundamentals,Learn search engine optimization basics and best practices
Digital Marketing,"marketing,seo,social",Social Media Strategy,Develop effective social media campaigns and content
Digital Marketing,"marketing,seo,social",Analytics and Tracking,Master Google Analytics and conversion tracking

